N,D,E,Noise,mse
101,292,0.5,0.2,0.2174814681856762
101,292,0.6,0.0,2.684986141589354
101,292,0.6,0.1,2.208569174362145
101,292,0.6,0.2,0.3475134950756189
101,292,0.7,0.0,2.684986141589354
101,292,0.7,0.1,2.3190138265365
101,292,0.7,0.2,0.3830067455734429
101,292,0.8,0.0,2.684986141589354
101,292,0.8,0.1,1.6435499492329804
101,292,0.8,0.2,0.2306002046933706
101,292,0.9,0.0,2.578168684934333
101,292,0.9,0.1,1.9486581720631868
101,292,0.9,0.2,0.0758189327691774
101,293,0.5,0.0,2.517428115418621
101,293,0.5,0.1,1.9835310805745063
101,293,0.5,0.2,0.266701084226197
101,293,0.6,0.0,2.499705356211233
101,293,0.6,0.1,2.22005284343013
101,293,0.6,0.2,0.2230359305286349
101,293,0.7,0.0,2.524510226650264
101,293,0.7,0.1,1.6065189824604469
101,293,0.7,0.2,0.1965512122494228
101,293,0.8,0.0,2.4615443873141256
101,293,0.8,0.1,2.121706302223769
101,293,0.8,0.2,0.1636242764526922
101,293,0.9,0.0,2.4595540733975536
101,293,0.9,0.1,1.4887041457601369
101,293,0.9,0.2,0.2401318286750786
102,291,0.5,0.0,5.650965673634123
102,291,0.5,0.1,1.859606734194287
102,291,0.5,0.2,0.0767332030688709
102,291,0.6,0.0,5.786603655759693
102,291,0.6,0.1,2.013641759246747
102,291,0.6,0.2,0.3273490238350813
102,291,0.7,0.0,5.8830398159344215
102,291,0.7,0.1,1.979142802749992
102,291,0.7,0.2,0.4394420354868256
102,291,0.8,0.0,5.06976334331527
102,291,0.8,0.1,1.9238416953891344
102,291,0.8,0.2,0.1016807186891846
102,291,0.9,0.0,5.831066152457784
102,291,0.9,0.1,2.1005298679587234
102,291,0.9,0.2,0.2287508009855905
102,292,0.5,0.0,5.607457539210567
102,292,0.5,0.1,1.8015673320835024
102,292,0.5,0.2,0.4044521092702595
102,292,0.6,0.0,5.897979293552113
102,292,0.6,0.1,2.365619691697443
102,292,0.6,0.2,0.1961350521949576
102,292,0.7,0.0,5.83398172911036
102,292,0.7,0.1,1.7881946036945615
102,292,0.7,0.2,0.4582642891553519
102,292,0.8,0.0,5.791676836844516
102,292,0.8,0.1,1.8299723774971977
102,292,0.8,0.2,0.0441883960849818
102,292,0.9,0.0,5.75508508043567
102,292,0.9,0.1,2.323292596844988
102,292,0.9,0.2,0.0312945128657489
102,293,0.5,0.0,5.507287835314522
102,293,0.5,0.1,1.744652343942919
102,293,0.5,0.2,0.0245048712775712
102,293,0.6,0.0,5.640252455263912
102,293,0.6,0.1,2.244961716167305
102,293,0.6,0.2,0.3344250365563503
102,293,0.7,0.0,5.695413909578272
102,293,0.7,0.1,1.7815684771001816
102,293,0.7,0.2,0.1200187510575059
102,293,0.8,0.0,5.663626331234295
102,293,0.8,0.1,1.754830861037302
102,293,0.8,0.2,0.1615610994329568
102,293,0.9,0.0,5.796075208199959
102,293,0.9,0.1,1.861469976040233
102,293,0.9,0.2,0.0122786538637438
103,291,0.5,0.0,3.833220753115397
103,291,0.5,0.1,2.243842481401165
103,291,0.5,0.2,0.2124555097482368
103,291,0.6,0.0,2.042334685407468
103,291,0.6,0.1,1.9285734859660248
103,291,0.6,0.2,0.0982970559708249
103,291,0.7,0.0,2.0678278231659792
103,291,0.7,0.1,1.585475036706022
103,291,0.7,0.2,0.2246070829039546
103,291,0.8,0.0,5.449588037819387
103,291,0.8,0.1,1.404514457748288
103,291,0.8,0.2,0.3438371482164815
103,291,0.9,0.0,5.670398679925798
103,291,0.9,0.1,1.542238096096426
103,291,0.9,0.2,0.1957997460290066
103,292,0.5,0.0,4.30626876445981
103,292,0.5,0.1,1.3966745947192898
103,292,0.5,0.2,0.3171821560045433
103,292,0.6,0.0,1.8558975177997024
103,292,0.6,0.1,1.7664324918639558
103,292,0.6,0.2,0.2255889776138815
103,292,0.7,0.0,1.9547433259372884
103,292,0.7,0.1,2.208670167606657
103,292,0.7,0.2,0.4420747645679164
103,292,0.8,0.0,5.437209571724613
103,292,0.8,0.1,2.309808222676057
103,292,0.8,0.2,0.3726504565993132
103,292,0.9,0.0,5.437209571724613
103,292,0.9,0.1,2.071976470455674
103,292,0.9,0.2,0.4448655242615444
103,293,0.5,0.0,3.9101073802551234
103,293,0.5,0.1,1.797470093650384
103,293,0.5,0.2,0.1740343671720001
103,293,0.6,0.0,1.911067167142706
103,293,0.6,0.1,2.2061662918616958
103,293,0.6,0.2,0.2057522244351535
103,293,0.7,0.0,2.13884007891752
103,293,0.7,0.1,1.4441341461651491
103,293,0.7,0.2,0.2484469212923326
103,293,0.8,0.0,4.97317571682185
103,293,0.8,0.1,1.8103267656164643
103,293,0.8,0.2,0.3520643029903763
103,293,0.9,0.0,5.34630495898568
103,293,0.9,0.1,2.2198159624470737
103,293,0.9,0.2,0.1546175010796844
110,260,0.5,0.0,4.819868283628053
110,260,0.5,0.1,2.0497155828603404
110,260,0.5,0.2,0.2871353339594584
110,260,0.6,0.0,4.9701068869376535
110,260,0.6,0.1,1.483394259752011
110,260,0.6,0.2,0.3764932695502114
110,260,0.7,0.0,4.9701068869376535
110,260,0.7,0.1,1.9604348688413344
110,260,0.7,0.2,0.3792701153427984
110,260,0.8,0.0,4.9701068869376535
110,260,0.8,0.1,2.442383129209629
110,260,0.8,0.2,0.3834541954146324
110,260,0.9,0.0,5.280605761107755
110,260,0.9,0.1,1.6429748604269925
110,260,0.9,0.2,0.2406191766157501
110,261,0.5,0.0,2.2797862156762303
110,261,0.5,0.1,1.752988647425294
110,261,0.5,0.2,0.3170499768952073
